record_id,target,url,title,platform,category,evidence_class,evidence,confidence,source_reliability,release_date,archive_url,relationship,in_repo,last_checked
ZP26-011,A,https://zazieproductions.bandcamp.com/album/stutter-to-stammer,Stutter to stammer | Zazie Productions,Bandcamp,music/ep,verified_platform_index,"Bandcamp search index (2026-09-05): 'Stutter to stammer by Zazie Productions', 5 tracks, released November 29, 2019; tags include musique concrete, weirdcore.",90,high,2019-11-29,,Debut EP; 'Cheaper Impressions' track is the Black Mountain College commission (ground truth).,False,2026-09-05
ZP26-012,A,https://zazieproductions.bandcamp.com/album/sellotape,Sellotape | Zazie Productions,Bandcamp,music/album,verified_platform_index,"Bandcamp search index (2026-09-05): 'Sellotape by Zazie Productions', 8 tracks, released March 20, 2020; tags chamber music, dark ambient, avant-garde.",90,high,2020-03-20,,2020 album; 2026 Super Deluxe Edition is ground truth in repo register (released 2026-04-16).,False,2026-09-05
ZP26-013,A,https://zazieproductions.bandcamp.com/album/vermiform,Vermiform | Zazie Productions,Bandcamp,music/album,verified_platform_index,"Bandcamp search index (2026-09-05): 'Vermiform by Zazie Productions', 8 tracks, released July 26, 2023; Deezer credits 'Composers: Zazie Kanwar-Torge' on its tracks.",90,high,2023-07-26,,"2023 album (Deezer shows ℗ 2022 Zazie Productions LLC, 06-05-2022 variant).",False,2026-09-05
ZP26-014,A,https://zazieproductions.bandcamp.com/album/greetings-from-tinsel-time-super-deluxe-edition,Greetings From Tinsel Time (Super Deluxe Edition) | Zazie Productions,Bandcamp,music/album,verified_platform_index,Bandcamp search + discography block on ZP26-007 page (fetched 2026-09-05) list this release (Dec 2024). Viberate (ZP26-034) confirms 2024 release date.,90,high,2024-12,,Super-deluxe reissue of the 2023 album (base album ZP26-016).,False,2026-09-05
ZP26-015,A,https://zazieproductions.bandcamp.com/album/stutter-to-stammer-super-deluxe-edition,Stutter to stammer (Super Deluxe Edition) | Zazie Productions,Bandcamp,music/album,verified_platform_index,Discography block on fetched page ZP26-007 (2026-09-05) lists 'Stutter to stammer (Super Deluxe Edition)' (Mar 2024); iTunes API returns tracks from this collection with releaseDate 2024-03-20 (ZP26-033).,88,high,2024-03-20,,Reissue of ZP26-011.,False,2026-09-05
ZP26-016,A,https://zazieproductions.bandcamp.com/album/greetings-from-tinsel-time,Greetings From Tinsel Time | Zazie Productions,Bandcamp,music/album,verified_platform_index,Discography block on fetched page ZP26-007 (2026-09-05); Viberate (ZP26-034) lists 2023 original.,88,high,2023,,Base album of ZP26-014.,False,2026-09-05
ZP26-017,A,https://zazieproductions.bandcamp.com/album/a-long-way-to-nowhere,A Long Way To Nowhere | Zazie Productions,Bandcamp,music/album,verified_platform_index,Discography block on fetched page ZP26-007 (2026-09-05) lists the release name and URL.,88,high,,,Store discography entry; page not independently opened.,False,2026-09-05
ZP26-018,A,https://zazieproductions.bandcamp.com/album/anesthesia-for-the-signal-age,Anesthesia for the Signal Age | Zazie Productions,Bandcamp,music/album,verified_platform_index,"Discography block on fetched page ZP26-007 (2026-09-05) lists 'Anesthesia for the Signal Age' (May 2026); matches repo register ground truth (released 2026-05-07, 10-track full-length).",88,high,2026-05,,2026 full-length; register cross-check positive.,False,2026-09-05
ZP26-019,A,https://zazieproductions.bandcamp.com/album/spectral-ode-to-synesthesia-2,Spectral Ode to Synesthesia | Zazie Productions,Bandcamp,music/single,verified_platform_index,Discography block on fetched page ZP26-007 (2026-09-05) lists 'Spectral Ode to Synesthesia' (Mar 2025); Viberate lists it as a 2025 single.,88,high,2025-03,,2025 single.,False,2026-09-05
ZP26-020,A,https://zazieproductions.bandcamp.com/track/opaline-lament-life-from-the-beyond-2,Opaline Lament (Life From The Beyond) | Zazie Productions,Bandcamp,music/single,verified_platform_index,Discography block on fetched page ZP26-007 (2026-09-05) lists 'Opaline Lament (Life From The Beyond)' (Dec 2025).,88,high,2025-12,,2025 single/track.,False,2026-09-05
ZP26-021,A,https://zazieproductions.bandcamp.com/,"Zazie Productions (Bandcamp artist store, 18 releases)",Bandcamp,music/artist_store,verified_platform_index,"Bandcamp search index (2026-09-05) ranks artist store #1 for exact query 'Zazie Productions' (band_id 315304910, Asheville NC, genre Experimental). Store displays 'Full Digital Discography: 18 releases' (fetched via ZP26-007). Root URL already in repo seed set; recorded here as the cluster root for ZP26-007..020.",95,high,,https://web.archive.org/web/20210914053312/https://zazieproductions.bandcamp.com/,CLUSTER ROOT: in_repo=True; all album/track records ZP26-007..ZP26-020 hang off this store. First Wayback capture 2021-09-14.,True,2026-09-05
ZP26-022,A,https://musicbrainz.org/artist/b610b4cb-87da-44d7-a262-2bd65fb8098c,Zazie Productions - MusicBrainz (artist b610b4cb-87da-44d7-a262-2bd65fb8098c),MusicBrainz,structured/artist_record,verified_live,"Page fetched 2026-09-05. Artist type Person, country United States; releases table lists 7 Various Artists compilation releases the artist is credited on (ZP26-023..029). MB search API returned this artist as exact-name match (score 100).",97,very_high,,,Primary structured-music record for Target A. No MusicBrainz record found under the personal name 'Zazie Kanwar-Torge' (search returned only the French singer Zazie and unrelated artists).,False,2026-09-05
ZP26-023,A,https://musicbrainz.org/release/87d86240-0b6a-4974-9c8b-39cf3c086e6d,"Esoterrexus - A Slithering Black Compilation (Various Artists, 2023-10-20, Slithering Black Records)",MusicBrainz,structured/release_record,verified_structured,"Listed on fetched MusicBrainz artist page (2026-09-05) under 'Releases'; 20-track digital release, label Slithering Black Records.",88,very_high,2023-10-20,,Compilation appearance of Zazie Productions (track not enumerated on the artist page).,False,2026-09-05
ZP26-024,A,https://musicbrainz.org/release/25dc1579-8eb4-4733-8f99-4014ea72ccbc,"Shadowlands 4 (Various Artists, 2023-11-10, Owlripper Recordings)",MusicBrainz,structured/release_record,verified_structured,"Listed on fetched MusicBrainz artist page (2026-09-05); 20-track digital release, label Owlripper Recordings.",88,very_high,2023-11-10,,Compilation appearance; Owlripper also credited on the Dissonance Index credits (ZP26-001).,False,2026-09-05
ZP26-025,A,https://musicbrainz.org/release/a91fa6a7-587b-4f94-876d-db121489f87d,"Christmasasaurus Unleashed! (Various Artists, 2023-12-25)",MusicBrainz,structured/release_record,verified_structured,"Listed on fetched MusicBrainz artist page (2026-09-05); 31-track digital release, no label listed.",88,very_high,2023-12-25,,Compilation appearance.,False,2026-09-05
ZP26-026,A,https://musicbrainz.org/release/1ff87890-d185-414a-937a-e3ee0980bcc4,"Late Night Love Letters (Various Artists, 2025-02-14, Utopia District)",MusicBrainz,structured/release_record,verified_structured,"Listed on fetched MusicBrainz artist page (2026-09-05); 46-track digital release, label Utopia District. The Utopia District Bandcamp album page is in the repo seed set; this MusicBrainz release record is new.",88,very_high,2025-02-14,,Compilation appearance (label page in repo; structured MB record new).,False,2026-09-05
ZP26-027,A,https://musicbrainz.org/release/d2409b75-b027-4c32-b6a5-08050036aae1,"ECHOES OF ANCIENT WRATH (Various Artists, 2025-08-13, Dodendans, catalog DD049)",MusicBrainz,structured/release_record,verified_structured,"Listed on fetched MusicBrainz artist page (2026-09-05); 10-track digital release, label Dodendans, catalog number DD049.",88,very_high,2025-08-13,,Compilation appearance with formal catalog number.,False,2026-09-05
ZP26-028,A,https://musicbrainz.org/release/64263a77-e4a7-430d-aff9-39deefa6e581,"Industrial Halloween 2025 (Various Artists, 2025-10-31, DSBP)",MusicBrainz,structured/release_record,verified_structured,"Listed on fetched MusicBrainz artist page (2026-09-05); 34-track digital release, label DSBP.",88,very_high,2025-10-31,,Compilation appearance.,False,2026-09-05
ZP26-029,A,https://musicbrainz.org/release/811777b0-f682-411a-869c-7da2f25fc53c,"Psych Against Cancer, Vol 3, Part 2 (Various Artists, 2026-02-27)",MusicBrainz,structured/release_record,verified_structured,Listed on fetched MusicBrainz artist page (2026-09-05); 55-track digital release.,88,very_high,2026-02-27,,2026 compilation appearance.,False,2026-09-05
ZP26-030,A,https://www.discogs.com/artist/11354435-Zazie-Productions,"Zazie Productions Discography: Vinyl, CDs, & More | Discogs (artist 11354435)",Discogs,structured/artist_record,verified_live,"Page fetched 2026-09-05. 'Zazie Productions' artist page: 2 releases, 62 appearances. Releases: 'Constrained Capacity' (10x File, WAV, 2022, Not On Label (Zazie Productions Self-released)) and 'Amnesia (59) X Zazie Productions, Oliver Schöffler' (4x File, FLAC, 2024, arrhythNia Records, aNr124).",97,very_high,,,Primary structured-discography record for Target A on Discogs. Discogs search also reports 152 releases / 16 masters matching 'Zazie Productions' marketplace-wide (ZP26-031 context).,True,2026-09-05
ZP26-031,A,https://www.discogs.com/label/4317760-Not-On-Label-Zazie-Productions-Self-released,Not On Label (Zazie Productions Self-released) | Discogs (label 4317760),Discogs,structured/label_record,verified_live,Discogs label search (fetched 2026-09-05) returns exactly one label: 'Not On Label (Zazie Productions Self-released)'; linked from the artist page's 2022 self-released album.,90,very_high,,,Self-release label record.,False,2026-09-05
ZP26-032,A,https://www.discogs.com/release/35541229-Zazie-Productions-Constrained-Capacity,"Zazie Productions - Constrained Capacity (Discogs release 35541229, 2022)",Discogs,structured/release_record,verified_structured,"Shown on fetched Discogs artist page ZP26-030 (2026-09-05): 10x File, WAV, Album; Not On Label (Zazie Productions Self-released); 2022; US.",90,very_high,2022,,Structured release record; matches Bandcamp album ZP26-009.,False,2026-09-05
ZP26-033,A,https://www.discogs.com/release/36415555-Amnesia-59-X-Zazie-Productions-Oliver-Sch%C3%B6ffler-Amnesia-X-Zazie-Productions-Oliver-Sch%C3%B6ffler,"Amnesia (59) X Zazie Productions, Oliver Schöffler - Amnesia X Zazie Productions, Oliver Schöffler (Discogs release 36415555, aNr124, 2024)",Discogs,structured/release_record,verified_structured,"Shown on fetched Discogs artist page ZP26-030 (2026-09-05): 4x File, FLAC; arrhythNia Records; aNr124; 2024.",90,very_high,2024,,Structured release record; matches Bandcamp split ZP26-006.,False,2026-09-05
ZP26-034,A,https://itunes.apple.com/search?term=%22Zazie+Productions%22&media=music&limit=25,Apple/iTunes Search API catalog for exact 'Zazie Productions' (25 tracks returned),Apple Music (iTunes Search API),structured/catalog_api,verified_structured,"API response fetched 2026-09-05: resultCount 25, artistName 'Zazie Productions', artistId 1623719351. Collections observed: 'Stutter to stammer (Super Deluxe Edition)' (2024-03-20), 'Well Meaning Neurotypicals - Single' (2022-07-01), 'Interference Archive 01010101 - EP' (2022-05-19), 'To Halt Space Adrift' (2023-04-28); tracks include 'Treatment Resistant', 'Timeless Retro Splurge', 'Pivot and Deflect'.",95,very_high,,,Structured streaming catalog evidence. Artist page music.apple.com/us/artist/zazie-productions/1623719351 is in repo; per-track/album API entries are new structured records.,False,2026-09-05
ZP26-035,A,https://groover.co/en/influencer/profile/0.zazie-productions/,Zazie Productions playlist curator on Groover,Groover,profile/curator,verified_live,"Page fetched 2026-09-05. H1 'Zazie Productions'; 'Playlist Curator, Sound Expert'; bio: multi-instrumentalist, sound artist, filmmaker, music producer; Spotify playlist 'Goa Trance/Psy Trance · Zazie Productions' (31.4k followers displayed); verified by Groover.",95,medium,,,Artist-curated identity (self-asserted profile). Playlist URL open.spotify.com/playlist/75PxWthUYPOskOU1EjGrFX surfaced here (Spotify domain in repo).,True,2026-09-05
ZP26-036,A,https://www.viberate.com/artist/zazie-productions/,"Zazie Productions - Songs, Events and Music Stats | Viberate",Viberate,profile/music_analytics,verified_live,"Page fetched 2026-09-05. 'Overview of Avant-garde Jazz musician Zazie Productions ... based in Asheville, United States'; release timeline (Greetings From Tinsel Time 2023/2024 SDE, Stutter to Stammer SDE 2024, Spectral Ode to Synesthesia 2025, CAN'T GET MY EYES OFF YOU (123) 2024).",90,medium,,,Aggregated analytics profile; biographical claims self-asserted upstream.,True,2026-09-05
ZP26-037,A,https://www.bandmix.com/zazieproductions/,Zazieproductions - Musician in Asheville NC - BandMix.com,BandMix,profile/musician_directory,verified_live,"Page fetched 2026-09-05. ABOUT section: 'Zazie Productions—Asheville's elusive, self-taught auteur...'; screen name 'Zazieproductions'; member since Oct 28, 2024; ID# 1820992; Phantom Requiem short-film video embedded (youtube UX2kv3G89Jw).",90,medium,,,Musician directory profile; screen-name variant 'Zazieproductions' (no space) is the account slug.,True,2026-09-05
ZP26-038,A,https://www.wfcn.co/profile/zazie.productions,Zazie Productions | WFCN,WFCN,profile/film_directory,verified_live,"Page fetched 2026-09-05. Profile 'Zazie Productions', Department Direction, Lives in Asheville; Filmography: 'NA | Phantom Requiem | Zazie Productions'; schema.org JSON-LD name 'Zazie Productions'; YouTube channel id UCnDTZImCr9MfLF_f7iPav2A linked.",90,medium,,,Film-industry directory profile (self-registered). Slug variant 'zazie.productions'.,True,2026-09-05
ZP26-039,A,https://www.castingcall.club/m/zazieproductions,Zazie Productions | Casting Call Club,Casting Call Club,profile/voice_actors,verified_live,"Page fetched 2026-09-05 (redirect /zazieproductions -> /m/zazieproductions). 'Award Winning Composer, Autistic Prodigy, Meme Influencer'; joined Apr 2025; about text includes exact 'Zazie Productions'; links to Behance (behance.net/zaziediya), FilmFreeway, HEAVY Magazine, 100Subtexts blogspot feature, Indie AM, Radioclick, Shock Web Radio, Pop Phantasma, Breaking Hits, Maude Literary (mandeliterary.com/phantom-requiem/).",90,medium,,,"Profile lists the full press circuit (most links already in repo). Source of leads: behance.net/zaziediya (variant handle), 100subtextsmagazine.blogspot.com feature page.",True,2026-09-05
ZP26-040,A,https://soundbetter.com/profiles/614805-zazie-productions,Zazie Productions - Award Winning Musical Prodigy - North Carolina | SoundBetter,SoundBetter,profile/production_services,verified_live,"Page fetched 2026-09-05. Profile 'Zazie Productions', 9 reviews; 'Discogs verified credits for Zazie Productions' list includes 'Amnesia (59) X Zazie Productions, Oliver Schöffler' and multiple Various credits; credits section lists Unwashed Miscreant, Lydia Lunch, Black Mountain College, Sun Ra Arkestra.",92,medium,,,Production-services profile; Discogs-verified credit block cross-links ZP26-030/033.,True,2026-09-05
ZP26-041,B,https://songstats.com/artist/mljz9dxu/zazie-kanwar-torge,Zazie Kanwar-Torge | Collaborator Analytics | Songstats,Songstats,profile/composer_analytics,verified_live,"Page fetched 2026-09-05. 'Composer: Zazie Kanwar-Torge'; associated artists Unwashed Miscreant and Zazie Productions (link to songstats.com/artist/hxc5ipay/zazie-productions - in repo); Tidal sameAs listen.tidal.com/artist/33032080; recent release CAN'T GET MY EYES OFF YOU (123) (Unwashed Miscreant, Zazie Productions, 9 Jul 2024).",92,medium,,,Composer-identity analytics page keyed to Target B; page itself links the Target A Songstats page (repo). Tidal artist id 33032080 surfaced (lead).,True,2026-09-05
ZP26-042,A,https://rateyourmusic.com/~ZazieProductions,Profile: ZazieProductions - Rate Your Music,Rate Your Music,profile/user,variant,"Page fetched 2026-09-05. User 'ZazieProductions' (member since November 11, 2020, #720597; '20 / Non-binary'). Username is the concatenated variant of 'Zazie Productions' (no space), so this is a variant-tier record, not an exact-string record per the repo two-name rule.",70,medium,,,Identity attribution probable (taste profile overlaps artist influences) but the visible string is the concatenated variant; recorded separately from exact matches.,False,2026-09-05
ZP26-043,AB,https://pebblesunderground.art/video/phantom-requiem/,PHANTOM REQUIEM by Zazie Kanwar-Torge (Zazie Productions) | USA (2024) - JURY SPECIAL MENTION - Pebbles Underground,Pebbles Underground,film/festival_entry,verified_live,"Page fetched 2026-09-05. Title and H1 carry both exact names; bio block; credit line 'Director, artist, producer: Zazie Kanwar-Torge (A.K.A Zazie Productions)' - a direct name-relationship statement. Links linktr.ee/zazieproductions and zazieproductions.bandcamp.com; embedded Spotify podcast episode link.",98,high,2024,https://web.archive.org/web/20260607083514/https://pebblesunderground.art/video/phantom-requiem/,"STRONGEST IDENTITY LINK found: explicit 'A.K.A' statement connecting both targets. Wayback captures: 2025-01-22, 2025-05-22, 2025-11-16, 2026-01-20, 2026-06-07.",True,2026-09-05
ZP26-044,AB,https://www.visualcontainer.tv/pebbles-underground-summer-2024-award-winners-winter-2024-award-winners/,PEBBLES UNDERGROUND SUMMER 2024 AWARD WINNERS + WINTER 2024 AWARD WINNERS - Visualcontainer TV,Visualcontainer TV,press/festival_awards,verified_live,Page fetched 2026-09-05. Winter 2024 award list: 'PHANTOM REQUIEM by Zazie Kanwar-Torge (Zazie Productions) | USA (2024) - JURY SPECIAL MENTION'; artist list includes 'Zazie Kanwar-Torge (Zazie Productions) | USA'. Two press-release PDFs linked (Summer-2024 / Winter-2024 Award-Winners_Press-Release.pdf) - artifacts not parsed.,95,high,2025-01-15,,Co-presentation partner of the Pebbles Underground festival (ZP26-043); both names appear in the official awards announcement.,True,2026-09-05
ZP26-045,AB,https://www.listennotes.com/podcasts/black-mountain/episode-7-ruth-asawas-jCOn1up_zYy/,Episode 7: Ruth Asawa's Radical Universalism with Jason Vartikar | Listen Notes (related-episode module),Listen Notes,audio/podcast_index,verified_live,"Page fetched 2026-09-05 (chunk 2). 'OTHER EPISODES IN THIS PODCAST' module contains 'BMC Radio Art: Zazie Productions - Cheaper Impressions' with description 'Zazie Kanwar-Torge (they/them) is a composer and multi-instrumentalist living in Asheville, North Carolina...'. The page itself is a different episode; both names appear in the related-episodes sidebar.",85,high,,,Podcast-index page where both targets are visible; surfaces the dedicated episode page ZP26-046.,False,2026-09-05
ZP26-046,AB,https://www.listennotes.com/podcasts/black-mountain/bmc-radio-art-zazie-atrX8jsp-6h/,BMC Radio Art: Zazie Productions - Cheaper Impressions (Listen Notes episode page),Listen Notes,audio/podcast_episode,verified_platform_index,"Episode page URL and title 'BMC Radio Art: Zazie Productions - Cheaper Impressions' (Dec. 15, 2021) confirmed on the fetched verified page ZP26-045 (2026-09-05); description excerpt: 'Zazie Kanwar-Torge (they/them) is a composer and multi-instrumentalist...'. Dedicated page not independently opened this pass.",80,high,2021-12-15,,Dedicated episode page for the 2021 Black Mountain College radio-art commission 'Cheaper Impressions'; both names in title+description per the listing.,False,2026-09-05
ZP26-047,AB,https://archive.org/details/instructions-for-clean-living,Instructions for Clean Living (Internet Archive item; 2026 Public Domain Day Film Remix Contest),Internet Archive,archive/film_item,verified_structured,"Archive.org advancedsearch API (fetched 2026-09-05): matches BOTH exact queries. Item description ends: 'These materials were developed and produced by Zazie Kanwar-Torge, working as Zazie Productions.' Collection includes 2026-public-domain-day-film-contest. 233 downloads.",95,very_high,2026,https://archive.org/details/instructions-for-clean-living,"The only archive.org item matching Target B's exact string; statement 'Zazie Kanwar-Torge, working as Zazie Productions' is a second direct identity link (besides ZP26-043). Register confirms this film was submitted to the contest (ground truth).",False,2026-09-05
ZP26-048,A,https://archive.org/details/phantom-requiem-short-film,Phantom Requiem ( Short Film) : Zazie Productions (Internet Archive item),Internet Archive,archive/film_item,verified_live,"Item page fetched 2026-09-05: 'by Zazie Productions' (creator link), CC BY-ND 4.0, topics film/experimental film/stop motion/claymation, added 2025-04-03. Full-text search matches 'Zazie Productions'.",95,very_high,2025-04-03,https://archive.org/details/phantom-requiem-short-film,"Primary film of both targets (Phantom Requiem, 2024) self-uploaded to IA; complements festival records ZP26-043/044.",False,2026-09-05
ZP26-049,A,https://archive.org/details/unexplained-aerial-phenomena-report-zazie-productions,UNEXPLAINED AERIAL PHENOMENA UFO REPORT - ZAZIE PRODUCTIONS ZP-AEP-0328-MID-FL (Internet Archive item),Internet Archive,archive/document_item,verified_structured,"Archive.org API (fetched 2026-09-05): title contains 'ZAZIE PRODUCTIONS'; description: 'UNEXPLAINED AERIAL PHENOMENA REPORT - ZAZIE PRODUCTIONS Case ID: ZP-AEP-0328-MID-FL Date of Event: March 28, 2025...' (25 downloads).",92,very_high,2025-03-28,https://archive.org/details/unexplained-aerial-phenomena-report-zazie-productions,Fictional 'UFO report' artifact in the artist's Enigma Labs sighting series (sighting 311344 is in repo).,False,2026-09-05
ZP26-050,A,https://archive.org/details/quantum-geometry-3-d-emulator,"Quantum Geometry 3D Emulator (Internet Archive item, open_source_software)",Internet Archive,archive/software_item,verified_structured,"Archive.org metadata API (fetched 2026-09-05): metadata.creator = 'Zazie Productions', uploader 'zaziediya@gmail.com', date 2019-12-01, license CC BY-NC-ND 4.0, mediatype software. HTML file 'Quantum Geometry 3D Emulator .html'.",92,very_high,2019-12-01,https://archive.org/details/quantum-geometry-3-d-emulator,Early (2019) creative-coding artifact; uploader email matches the contact address seen on the broken ReelCrafter reel (L-01).,False,2026-09-05
ZP26-051,A,https://archive.org/details/va-music-inspired-on-mulholland-drive,V/A - Music Inspired by Mulholland Drive (Internet Archive netlabel item),Internet Archive,archive/music_compilation_item,verified_structured,"Archive.org metadata API (fetched 2026-09-05): file '03 - Zazie Productions - Club Silencio Acoustic Survey.mp3' with creator='Zazie Productions', title='Club Silencio Acoustic Survey', album='Music inspired by Mulholland Drive', track 3.",92,very_high,2026,https://archive.org/details/va-music-inspired-on-mulholland-drive,Netlabel compilation contribution; NEW track title 'Club Silencio Acoustic Survey' not in repo.,False,2026-09-05
ZP26-052,A,https://archive.org/details/va-doom-a-creative-commons-music-compilation,V/A - DOOM / A Creative Commons Music Compilation (Internet Archive netlabel item),Internet Archive,archive/music_compilation_item,verified_structured,Archive.org API (fetched 2026-09-05): description artist-link list includes 'Zazie Productions: https://zazieproductions.bandcamp.com/'. Compiled by Sábila Orbe.,90,very_high,2026,https://archive.org/details/va-doom-a-creative-commons-music-compilation,Netlabel compilation contribution (credit in item description).,False,2026-09-05
ZP26-053,A,https://archive.org/details/v-a-i-want-to-believe,V/A - I want to Believe (X-files Tribute) (Internet Archive netlabel item),Internet Archive,archive/music_compilation_item,verified_structured,Archive.org API (fetched 2026-09-05): description artist-link list includes 'Zazie Productions: https://zazieproductions.bandcamp.com/'. Compiled by Sábila Orbe. Connects to ground-truth 'Dawn of Darkness X-Files tribute call' submission (register).,90,very_high,2026,https://archive.org/details/v-a-i-want-to-believe,Netlabel compilation contribution.,False,2026-09-05
ZP26-054,A,https://archive.org/details/ju-on-the-music-compilation,V/A - Ju-On (呪怨) The music compilation (Internet Archive netlabel item),Internet Archive,archive/music_compilation_item,verified_structured,Archive.org API (fetched 2026-09-05): description artist-link list includes 'Zazie Productions: https://zazieproductions.bandcamp.com /// https://linktr.ee/zazieproductions' (1073 downloads).,90,very_high,2025-07-25,https://archive.org/details/ju-on-the-music-compilation,Netlabel compilation contribution; horror-compilation circuit consistent with the artist's horror-scoring work.,False,2026-09-05
