Section,EntryNo,RegisterEntry,LinkList,LinkDisplay,Status,Notes
"Section 1 — Music Releases, Performances, Placements & Press",11,The Spirit's Bone Colored Air (Summoning 2),https://dittanyofcrete.bandcamp.com/album/summoning-2,dittanyofcrete.bandcamp.com/album/summoning-2 (https://dittanyofcrete.bandcamp.com/album/summoning-2),linked,
"Section 1 — Music Releases, Performances, Placements & Press",12,R09 Recording Water Pond Collage (Field Recording Vol. 3),https://gelombangaudiozine.bandcamp.com/album/issue-51-field-recording-vol-3,"gelombangaudiozine.bandcamp.com/album/issue-51-field-recording-vol-3 (https://gelombangaudiozine.bandcamp.com/album/issue-51-field-recording-vol-3) — track 9 ""Zazie Productions - R09 Recording Water Pond Collage""",linked,
"Section 1 — Music Releases, Performances, Placements & Press",13,Negative Organ Function (Frequências Cadavéricas – Vol. I),https://brutalizerecs.bandcamp.com/album/frequ-ncias-cadav-ricas-volume-i-compila-o,"brutalizerecs.bandcamp.com/album/frequ-ncias-cadav-ricas-volume-i-compila-o (https://brutalizerecs.bandcamp.com/album/frequ-ncias-cadav-ricas-volume-i-compila-o) — track 11 ""Zazie Productions - Negative Organ Function""",linked,
"Section 1 — Music Releases, Performances, Placements & Press",14,Grief Is a Hot Commodity (Camembert Électrique #28),https://camembertelectrique.bandcamp.com,camembertelectrique.bandcamp.com (https://camembertelectrique.bandcamp.com),label / hunt,
"Section 1 — Music Releases, Performances, Placements & Press",15,Obelisk of Static Collapse (It's Only HNW IX),https://thehillsaredead.bandcamp.com/album/its-only-hnw-but-i-like-it-ix,"thehillsaredead.bandcamp.com/album/its-only-hnw-but-i-like-it-ix (https://thehillsaredead.bandcamp.com/album/its-only-hnw-but-i-like-it-ix) — track 8 + thanks list ""ZAZIE PRODUCTIONS""",linked,
"Section 1 — Music Releases, Performances, Placements & Press",16,The Silence Began Crawling (Summoning 3),https://dittanyofcrete.bandcamp.com/album/summoning-3,dittanyofcrete.bandcamp.com/album/summoning-3 (https://dittanyofcrete.bandcamp.com/album/summoning-3),linked,
"Section 1 — Music Releases, Performances, Placements & Press",17,Pond at Night Cicadas / Wildlife Binaural (Field Recording Vol. 4),https://gelombangaudiozine.bandcamp.com/album/issue-52-field-recording-vol-4,"gelombangaudiozine.bandcamp.com/album/issue-52-field-recording-vol-4 (https://gelombangaudiozine.bandcamp.com/album/issue-52-field-recording-vol-4) — track 11 + bio ""and Zazie Productions""",linked,
"Section 1 — Music Releases, Performances, Placements & Press",18,Egregore Intrasound (Ecstatic Feedback II),https://terminalfutureindustries.bandcamp.com/album/ecstatic-feedback-ii-a-terminal-future-industries-compilation-part-1,terminalfutureindustries.bandcamp.com/album/ecstatic-feedback-ii-a-terminal-future-industries-compilation-part-1 (https://terminalfutureindustries.bandcamp.com/album/ecstatic-feedback-ii-a-terminal-future-industries-compilation-part-1),linked,
"Section 1 — Music Releases, Performances, Placements & Press",19,Trust No Signal (I Want to Believe – X-Files Tribute),https://www.soundshiva.net/release/various-artists-i-want-to-believe-x-files-tribute ; https://archive.org/details/v-a-i-want-to-believe,soundshiva.net/release/various-artists-i-want-to-believe-x-files-tribute (https://www.soundshiva.net/release/various-artists-i-want-to-believe-x-files-tribute) · archive.org/details/v-a-i-want-to-believe (https://archive.org/details/v-a-i-want-to-believe),linked,
"Section 1 — Music Releases, Performances, Placements & Press",29,FAULT CODES (25+ SFX),https://zazieproductions.itch.io,zazieproductions.itch.io (https://zazieproductions.itch.io),linked,
"Section 1 — Music Releases, Performances, Placements & Press",32,Limitless Magazine feature,https://limitless-magazine.com/2026/06/12/forget-asmr-zazie-productions-will-rewire-your-whole-nervous-system/,limitless-magazine.com (https://limitless-magazine.com/2026/06/12/forget-asmr-zazie-productions-will-rewire-your-whole-nervous-system/),linked,
"Section 1 — Music Releases, Performances, Placements & Press",33,Rock Culture coverage,https://www.rockculture.es/noticias-kaenn-odd-marauder-geoff-carne-uniporn-tom-relling-al-contado-electric-fury-all-around-pisces-zazie-productions-rip-gerber/,rockculture.es (https://www.rockculture.es/noticias-kaenn-odd-marauder-geoff-carne-uniporn-tom-relling-al-contado-electric-fury-all-around-pisces-zazie-productions-rip-gerber/),linked,
"Section 1 — Music Releases, Performances, Placements & Press",34,Billboard Wire June 12 feature,https://billboardwire.com/how-an-underground-experimental-musician-became-a-go-to-composer-for-psychological-horror/,billboardwire.com/…psychological-horror (https://billboardwire.com/how-an-underground-experimental-musician-became-a-go-to-composer-for-psychological-horror/),linked,
"Section 1 — Music Releases, Performances, Placements & Press",14,Grief Is a Hot Commodity (Camembert Électrique #28),https://camembertelectrique.bandcamp.com/track/grief-is-a-hot-commodity,camembertelectrique.bandcamp.com/track/grief-is-a-hot-commodity (https://camembertelectrique.bandcamp.com/track/grief-is-a-hot-commodity),linked,
"Section 1 — Music Releases, Performances, Placements & Press",25,Low Pressure Systems — Isochamber Drift,https://camembertelectrique.bandcamp.com/track/isochamber-drift,camembertelectrique.bandcamp.com/track/isochamber-drift (https://camembertelectrique.bandcamp.com/track/isochamber-drift),linked,
"Section 1 — Music Releases, Performances, Placements & Press",37,MANTRA / MUSLAB co-production,https://artfacts.net/artist/zazie-kanwar-torge,artfacts.net (lead – lower-case t name) (https://artfacts.net/artist/zazie-kanwar-torge),lead,
"Section 1 — Music Releases, Performances, Placements & Press",38,The Vanishing Point Syndicate — Dissonance Index Vol. 1,https://thevanishingpointsyndicate.bandcamp.com/album/dissonance-index-vol-1-various-artists,"thevanishingpointsyndicate.bandcamp.com/album/dissonance-index-vol-1-various-artists (https://thevanishingpointsyndicate.bandcamp.com/album/dissonance-index-vol-1-various-artists) · track 1 renders ""[Zazie Productions - Pyrogenesis]""",linked,
"Section 1 — Music Releases, Performances, Placements & Press",79,Galactic Requiem — Immersive 3D Sci-Fi Soundscape,https://www.gamedevmarket.net/member/zazieproductions,"gamedevmarket.net/member/zazieproductions (https://www.gamedevmarket.net/member/zazieproductions) · ""[ZazieProductions]'s Profile"" + ""Galactic Requiem by ZazieProductions""",linked,
"Section 1 — Music Releases, Performances, Placements & Press",50,Swinewomb / Swinebomb,https://www.tickettailor.com/events/motherof/2336870,"tickettailor.com/events/motherof/2336870 (https://www.tickettailor.com/events/motherof/2336870) — ""Composer — Zazie Kanwar-Torge""",linked,
"Section 3 — Writing, Publication & Visual Art",57,Poison in the Well (Church of Malware Community Codex),https://www.instagram.com/church.of.malware/,instagram.com/church.of.malware (https://www.instagram.com/church.of.malware/),"lead (posts name as ""Zazie""; exact string not confirmed)",
"Section 3 — Writing, Publication & Visual Art",58,Fearful Symmetries (anthology),https://www.dionysianpubliclibrary.com/print-season-iii ; https://www.amazon.com/Fearful-Symmetries-Anthology-Psychedelic-Anthologies/dp/B0GFXWQ5YB,dionysianpubliclibrary.com/print-season-iii (https://www.dionysianpubliclibrary.com/print-season-iii) · amazon (https://www.amazon.com/Fearful-Symmetries-Anthology-Psychedelic-Anthologies/dp/B0GFXWQ5YB),linked,
"Section 3 — Writing, Publication & Visual Art",59,Stunning That You'd Care (For the Sad Kids Zine),https://www.lyrics.com/lyric-lf/8858319/Zazie+Productions/Stunning+That+You%27d+Care,track indexed on lyrics.com (https://www.lyrics.com/lyric-lf/8858319/Zazie+Productions/Stunning+That+You%27d+Care),lead (zine itself not online; track is indexed),
"Section 3 — Writing, Publication & Visual Art",64,Infinite Self Pavilion / Wrong Biennale,https://www.cyberneticfutures.com/infinite-self-pavilion ; https://www.cyberneticfutures.com/infinite-self-pavilion/artistsbios,"cyberneticfutures.com/infinite-self-pavilion (https://www.cyberneticfutures.com/infinite-self-pavilion) — artist list renders ""…Zazie Productions, Garrett Lynch IRL…"" exact; Wrong Biennale 2025–2026, curated Dr Lila Moore (Nov 1 2025–Mar 31 2026) · artistsbios (https://www.cyberneticfutures.com/infinite-self-pavilion/artistsbios)",linked,
"Section 3 — Writing, Publication & Visual Art",65–68,Bipolar Poetry / Milkweed Poetry Journal / Barb Issue 3 / Posthuman Press,,various,HUNT (no public exact-name index returned; print/lit-mag only),
Section 4 — Adversarial AI and Cybersecurity,69,Gray Swan Arena adversarial testing,,private / NDA-scored,AUTH,
Section 4 — Adversarial AI and Cybersecurity,(R&D),Hardware / embedded-sensor R&D (PFA v2),https://hackaday.io/project/204427-photon-flux-analyzer-v2-reverse-bias-led-sensor,"hackaday.io/project/204427-photon-flux-analyzer-v2-reverse-bias-led-sensor (https://hackaday.io/project/204427-photon-flux-analyzer-v2-reverse-bias-led-sensor) — ""Zazie Kanwar-Torge"" exact",linked,
"Section 5 — Business, Commerce & Professional Infrastructure","70–73, 102",RadioReach,https://radioreach.us,radioreach.us (https://radioreach.us),lead (live product; footer does not render the exact name),
"Section 5 — Business, Commerce & Professional Infrastructure",74,Gumroad catalog,https://gumroad.com/zazieproductions,gumroad.com/zazieproductions (https://gumroad.com/zazieproductions),linked,
"Section 5 — Business, Commerce & Professional Infrastructure",84,eBay storefront,,ebay auth,AUTH,
"Section 5 — Business, Commerce & Professional Infrastructure",85,Vinted,,vinted auth,AUTH,
"Section 5 — Business, Commerce & Professional Infrastructure",86,Mercari,,mercari auth,AUTH,
"Section 5 — Business, Commerce & Professional Infrastructure",87,Whatnot,,whatnot auth,AUTH,
"Section 5 — Business, Commerce & Professional Infrastructure",91,Horror composer portfolio,https://horror.zazieproductions.com,horror.zazieproductions.com (https://horror.zazieproductions.com),linked,
"Section 5 — Business, Commerce & Professional Infrastructure",92,IMDbPro name-page control,https://www.imdb.com/name/nm17333332/,imdb.com/name/nm17333332 (https://www.imdb.com/name/nm17333332/),linked,
"Section 5 — Business, Commerce & Professional Infrastructure",93,Muso.AI profile,https://muso.ai,muso.ai (https://muso.ai) — see master index,linked,
"Section 5 — Business, Commerce & Professional Infrastructure",94,Bario on BetaList,https://betalist.com/startups/bario ; https://www.indiegogo.com/en/projects/bario-ai-/audioplatform ; https://bario.icu/,betalist.com/startups/bario (https://betalist.com/startups/bario) · indiegogo Bario (https://www.indiegogo.com/en/projects/bario-ai-/audioplatform) · bario.icu (https://bario.icu/),"lead — BetaList/Indiegogo attribute creator as ""Bario Ai"", not the exact name; no exact-name render",
Section 6 — Personal Creative Coding & Independent Learning (GitHub),103,Vortex AV Engine,https://github.com/zazieproductions/Conic-Vortex,"github.com/zazieproductions/Conic-Vortex (https://github.com/zazieproductions/Conic-Vortex) — repo desc begins ""YYYYYYYY is a real-time generative web application…""",linked,
Section 6 — Personal Creative Coding & Independent Learning (GitHub),104,Interference Archive,https://zazieproductions.bandcamp.com/album/interference-archive-01010101,zazieproductions.bandcamp.com/album/interference-archive-01010101 (https://zazieproductions.bandcamp.com/album/interference-archive-01010101),linked,
Section 6 — Personal Creative Coding & Independent Learning (GitHub),105,Contrapuntal Academic Nonsense Engine / Recursive Musicology,https://github.com/zazieproductions/Contrapuntal-Academic-Nonsense-Engine,github.com/zazieproductions/Contrapuntal-Academic-Nonsense-Engine (https://github.com/zazieproductions/Contrapuntal-Academic-Nonsense-Engine),linked,
Section 6 — Personal Creative Coding & Independent Learning (GitHub),107,SPECTRA//LAB,https://github.com/zazieproductions/Spectra-DSP-Visualizer-Architecture,github.com/zazieproductions/Spectra-DSP-Visualizer-Architecture (https://github.com/zazieproductions/Spectra-DSP-Visualizer-Architecture),linked,
Section 6 — Personal Creative Coding & Independent Learning (GitHub),108,VOID//OCULUS,https://github.com/zazieproductions/void-oculus ; https://zazieproductions.github.io/void-oculus/,github.com/zazieproductions/void-oculus (https://github.com/zazieproductions/void-oculus) · live board (https://zazieproductions.github.io/void-oculus/),linked,
Section 6 — Personal Creative Coding & Independent Learning (GitHub),109,Interactive Harsh Noise Generator / NOISE WALL,https://github.com/zazieproductions/interactive-harsh-noise-generator,github.com/zazieproductions/interactive-harsh-noise-generator (https://github.com/zazieproductions/interactive-harsh-noise-generator),linked,
Section 6 — Personal Creative Coding & Independent Learning (GitHub),110,yyyyyyyy.info preservation package,https://github.com/zazieproductions/Conic-Vortex,github.com/zazieproductions/Conic-Vortex (https://github.com/zazieproductions/Conic-Vortex) — same project (yyyyyyyy),linked,
Section 6 — Personal Creative Coding & Independent Learning (GitHub),111,Zazie Productions profile repository,https://github.com/zazieproductions/zazieproductions,github.com/zazieproductions/zazieproductions (https://github.com/zazieproductions/zazieproductions),linked,
