#,compilation,track,label,discogs,listen_url,listen_status,found_via
27,LSD100,Stokes Diapir,LOUDsilence,https://www.discogs.com/release/32869101-Various-LSD100,https://loudsilencedigital.bandcamp.com/album/lsd100,confirmed,opnxng.com SearXNG
28,Synthetic Dystopia,Post-Carbon Signal Rot - Comunion V.2.3,The Church Of Noisy Goat,https://www.discogs.com/release/34073494-Various-Synthetic-Dystopia,https://thechurchofnoisygoat.bandcamp.com/album/synthetic-dystopia,confirmed,opnxng.com SearXNG
29,Kosmische Lᴴëm - Volume #001,Pivot and Deflect,Spirit of Possibility Music,https://www.discogs.com/release/34852574-Various-Kosmische-L%E1%B4%A7%C3%ABm-Volume-001,https://soundcloud.com/spirit-of-possibility/sets/kosmische-l-m-volume-001,confirmed,opnxng.com SearXNG
30,Vampires (A Sounds For The Soul Compilation),Vlad The Impaler,Sounds for the Soul Records,https://www.discogs.com/release/35511685-Various-Vampires-A-Sounds-For-The-Soul-Compilation,https://soundsforthesoul.bandcamp.com/,label,opnxng.com SearXNG
31,Noisembryowl 5,Weaponized Apathy,Owlripper Recordings,https://www.discogs.com/release/35850694-Various-Noisembryowl-5,https://owlripperrecordings.bandcamp.com/,label,opnxng.com SearXNG
32,NYOTGRINDER NOISE COMPILATION vol.2,xJazz-Grind Obstruction (US),NYOTGRINDER,https://www.discogs.com/release/34846487-Various-NYOTGRINDER-NOISE-COMPILATION-vol2,https://nyotgrinder.bandcamp.com/album/nyotgrinder-noise-compilation-vol-2,confirmed,opnxng.com SearXNG
33,Toxic T.,Occupational Hazards,Plataforma Recs,https://www.discogs.com/release/33889353-Various-Toxic-T,https://plataformarecs.bandcamp.com/,label,opnxng.com SearXNG
34,1985,Occupational Hazards,Errant Static,https://www.discogs.com/release/34981730-Various-1985,https://errantstaticnoise.bandcamp.com/,label,opnxng.com SearXNG (Errant Static)
35,Who Is The Dreamer? — A Tribute To David Lynch,Small Transitory Life,The Church Of Noisy Goat,https://www.discogs.com/release/33220155-Various-Who-Is-The-Dreamer-A-Tribute-To-David-Lynch,https://thechurchofnoisygoat.bandcamp.com/,label,opnxng.com SearXNG
36,7.7,Pivot and Deflect,Not On Label (self-released),https://www.discogs.com/release/33707496-Divergent-Artists-77,https://lessthanone.bandcamp.com/,label,opnxng.com SearXNG (DivergentArtists <1)
37,Stonewall/Noisewall Volume 1,Stalactite Of Dead Reckoning,TSHN Productions,https://www.discogs.com/release/35109107-TSHN-Productions-StonewallNoisewall-Volume-1,https://tshnproductions.bandcamp.com/,label,opnxng.com SearXNG
38,Aspirin Age Vol. 5 (A Shoegaze Compilation),Weaponized Apathy,Broken Sound Tapes,https://www.discogs.com/release/35667886-Various-Aspirin-Age-Vol-5-A-Shoegaze-Compilation,https://brokensoundtapes.bandcamp.com/album/aspirin-age-volume-five-a-shoegaze-compilation,confirmed,opnxng.com SearXNG
39,Tavern Synth Vol. II,The Hearth Keeps Time,Relics Of The Eternal City,https://www.discogs.com/release/36381970-Various-Tavern-Synth-Vol-II,https://relicsoftheeternalcity.bandcamp.com/,label,opnxng.com SearXNG
40,Ju-On (咒怨) The Music Compilation,Izumi’s Disappearance,Dawn Of Darkness,https://www.discogs.com/release/34647799-Various-Ju-On-%E5%91%AA%E6%80%A8-The-Music-Compilation,https://internetdaemon.bandcamp.com/,label,opnxng.com SearXNG (Dawn of Darkness)
41,Make a Change: A Compilation of Skankin’ Pickle Covers,Not Too Late,Rocket Punch Records,https://www.discogs.com/release/34708917-Various-Make-a-Change-A-Compilation-of-Skankin-Pickle-Covers,https://rocketpunchrecords.bandcamp.com/album/make-a-change-a-compilation-of-skankin-pickle-covers,confirmed,opnxng.com SearXNG
42,Twenty Three Seconds Ov Time Volume 15: Thee Awakening,Galvanized Insides Can Feel No Joy,Autonomous Individuals Network,https://www.discogs.com/release/36703675-Various-Twenty-Three-Seconds-Ov-Time-Volume-15--Thee-Awakening-,https://ain23.bandcamp.com/,label,opnxng.com SearXNG
43,Summoning 1,The Høuse FΩrgøt Its Name / Hex Ritual,Dittany of Crete,https://www.discogs.com/release/36430204-Various-Summoning-1,https://dittanyofcrete.bandcamp.com/album/summoning-1,confirmed,opnxng.com SearXNG
44,Summoning 2,The Spirit’s Bone Colored Air,Dittany of Crete,https://www.discogs.com/release/36959898-Various-Summoning-2,https://dittanyofcrete.bandcamp.com/album/summoning-2,confirmed,opnxng.com SearXNG
45,Summoning 3,The Silence Began Crawling,Dittany of Crete,https://www.discogs.com/release/37565460-Various-Summoning-3,https://dittanyofcrete.bandcamp.com/album/summoning-3,confirmed,opnxng.com SearXNG
46,Field Recording Vol. 3,R09 Recording Water Pond Collage,Gelombang Audiozine,https://www.discogs.com/release/37181856-Various-Field-Recording-Vol-3,https://gelombangaudiozine.bandcamp.com/album/issue-51-field-recording-vol-3,confirmed,opnxng.com SearXNG
47,Field Recording Vol. 4,Pond At Night Cicadas / Wildlife Binaural,Gelombang Audiozine,https://www.discogs.com/release/37644762-Various-Field-Recording-Vol-4,https://gelombangaudiozine.bandcamp.com/album/issue-52-field-recording-vol-4,confirmed,opnxng.com SearXNG
48,Harsh Noise Corpus Vol. 5,track credit (compilation),The Hills Are Dead Records,https://www.discogs.com/release/36147124-Various-Harsh-Noise-Corpus-Vol5,https://thehillsaredead.bandcamp.com/album/harsh-noise-corpus-vol-5,confirmed,opnxng.com SearXNG
49,It’s Only HNW (But I Like It) IX,Obelisk Of Static Collapse,The Hills Are Dead Records,https://www.discogs.com/release/37511712-Various-Its-Only-HNW-But-I-Like-It-IX,https://thehillsaredead.bandcamp.com/,label,opnxng.com SearXNG
50,Two Years,Checksum Failed Successfully,LOUDsilence,https://www.discogs.com/release/36241024-Various-Two-Years,https://loudsilencedigital.bandcamp.com/album/two-years,confirmed,opnxng.com SearXNG
51,I Want To Believe (X-files Tribute),Trust No Signal,Dawn Of Darkness,https://www.discogs.com/release/37900812-VA-I-Want-To-Believe-X-files-Tribute,https://internetdaemon.bandcamp.com/,label,opnxng.com SearXNG (Dawn of Darkness)
52,Frida Kahlo,Frida and the Broken Column,Plataforma Recs,https://www.discogs.com/release/36350866-Various-Frida-Kahlo,https://plataformarecs.bandcamp.com/,label,opnxng.com SearXNG
53,SHARDS // Vol. 1,Vibroscriptorium,Z-Dimension,https://www.discogs.com/release/36836716-Various-SHARDS--Vol-1,https://z-dimension.bandcamp.com/album/shards-vol-1,confirmed,opnxng.com SearXNG
54,Frequências Cadavéricas - Volume I (Compilação),Negative Organ Function,Brutalize Recs,https://www.discogs.com/release/36973218-Various-Frequ%C3%AAncias-Cadav%C3%A9ricas-Volume-I-Compila%C3%A7%C3%A3o,https://brutalizerecs.bandcamp.com/album/frequ-ncias-cadav-ricas-volume-i-compila-o,confirmed,opnxng.com SearXNG
55,H.P. Lovecraft’s ~Whisperer In Darkness~,Akeley’s Phonograph,GATES of HYPNOS,https://www.discogs.com/release/38101452-Various-HP-Lovecrafts-Whisperer-In-Darkness,https://gohrecordings.bandcamp.com/album/h-p-lovecraft-s-whisperer-in-darkness,confirmed,opnxng.com SearXNG
56,Noise Around The World 14,Pyrogenesis,Plataforma Recs,https://www.discogs.com/release/36641662-Various-Noise-Around-The-World-14,https://plataformarecs.bandcamp.com/,label,opnxng.com SearXNG
57,Music Inspired By Mulholland Drive,Club Silencio Acoustic Survey,Dawn Of Darkness,https://www.discogs.com/release/36906384-Various-Music-Inspired-By-Mulholland-Drive,https://internetdaemon.bandcamp.com/,label,opnxng.com SearXNG (Dawn of Darkness)
58,Ecstatic Feedback II: A Terminal Future Industries Compilation,Egregore Intrasound,Terminal Future Industries,https://www.discogs.com/release/37824543-Various-Ecstatic-Feedback-II-A-Terminal-Future-Industries-Compilation,https://terminalfutureindustries.bandcamp.com/album/ecstatic-feedback-ii-a-terminal-future-industries-compilation-part-1,confirmed,opnxng.com SearXNG
59,Psych Against Cancer Vol 3 Part 2,Weaponized Apathy,Psych Lovers,https://www.discogs.com/release/36690658-Various-Psych-Against-Cancer-Vol-3-Part-2-,https://psychlovers.bandcamp.com/album/psych-against-cancer-vol-3-part-2,confirmed,opnxng.com SearXNG
60,Arboreal Telegraph,Isochamber Drift,Camembert Électrique,https://www.discogs.com/release/38101530-Various-Arboreal-Telegraph,https://camembertelectrique.bandcamp.com/album/arboreal-telegraph,confirmed,opnxng.com SearXNG
