QueryID,ExactQuery,TargetPhraseVariant,Engine_Family,Date,ResultPagesChecked,TopRankOrHit,NewCanonicalFound,Outcome,Notes
Q036,"""Zazie Kanwar-Torge"" ""experimental music""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,BillboardWire,No,Visibility only,
Q037,"""Zazie Productions"" ""experimental film""",Zazie Productions,General web depth 2,2026-09-05,1,Lake Ivan + Pebbles,No,Visibility only,
Q038,"""Zazie Kanwar-Torge"" ""experimental film""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Pebbles,No,Visibility only,
Q039,"""Zazie Productions"" ""art magazine""",Zazie Productions,General web depth 2,2026-09-05,1,Superpresent + Ranger,No,Visibility only,
Q040,"""Zazie Kanwar-Torge"" ""art magazine""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q041,"""Zazie Productions"" ""literary journal""",Zazie Productions,General web depth 2,2026-09-05,1,Maude / Bipolar claim snippet,No,No new feature,Unresolved lead
Q042,"""Zazie Kanwar-Torge"" ""literary journal""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Maude / Bipolar,No,No new feature,
Q043,"""Zazie Productions"" ""music magazine""",Zazie Productions,General web depth 2,2026-09-05,1,HEAVY + Indie AM + Soundsgood,No,Visibility only,
Q044,"""Zazie Kanwar-Torge"" ""music magazine""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q045,"""Zazie Productions"" ""film magazine""",Zazie Productions,General web depth 2,2026-09-05,1,Lake Ivan,No,Visibility only,
Q046,"""Zazie Kanwar-Torge"" ""film magazine""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q047,"""Zazie Productions"" ""independent publication""",Zazie Productions,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q048,"""Zazie Kanwar-Torge"" ""independent publication""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q049,"""Zazie Productions"" ""artist interview""",Zazie Productions,General web depth 2,2026-09-05,1,BillboardWire profile,No,Visibility only,
Q050,"""Zazie Kanwar-Torge"" ""artist interview""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,BillboardWire,No,Visibility only,
Q051,"""Zazie Productions"" ""composer interview""",Zazie Productions,General web depth 2,2026-09-05,1,BillboardWire,No,Visibility only,
Q052,"""Zazie Kanwar-Torge"" ""composer interview""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,BillboardWire,No,Visibility only,
Q053,"""Zazie Productions"" ""sound artist""",Zazie Productions,General web depth 2,2026-09-05,1,Slaps + BMC,No,No new feature,
Q054,"""Zazie Kanwar-Torge"" ""sound artist""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,BMC,No,Visibility only,
Q055,"""Zazie Productions"" ""program notes""",Zazie Productions,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q056,"""Zazie Kanwar-Torge"" ""program notes""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q057,"""Zazie Productions"" ""catalog essay""",Zazie Productions,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q058,"""Zazie Kanwar-Torge"" ""catalog essay""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q059,"""Zazie Productions"" ""artist statement""",Zazie Productions,General web depth 2,2026-09-05,1,Infinite Self Pavilion claim,No,No new feature,
Q060,"""Zazie Kanwar-Torge"" ""artist statement""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q061,"""Zazie Productions"" ""guest editor""",Zazie Productions,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q062,"""Zazie Kanwar-Torge"" ""guest editor""",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Not surfaced,No,No new feature,
Q063,"""Zazie Productions"" contributor",Zazie Productions,General web depth 2,2026-09-05,1,Superpresent + Ranger,No,Visibility only,
Q064,"""Zazie Kanwar-Torge"" contributor",Zazie Kanwar-Torge,General web depth 2,2026-09-05,1,Pulitzer + Bipolar claim,No,Visibility only,
Q065,"site:substack.com ""Zazie Productions""",Zazie Productions,Site-restricted web_search,2026-09-05,1-2,producerzach.substack.com,No,No new feature,2 generic results no phrase
Q066,"site:substack.com ""Zazie Kanwar-Torge""",Zazie Kanwar-Torge,Site-restricted,2026-09-05,1-2,No hits,No,Negative,
Q067,"site:medium.com ""Zazie Productions""",Zazie Productions,Site-restricted,2026-09-05,1,Zazzy Studio Medium,No,No new feature,Unrelated
Q068,"site:medium.com ""Zazie Kanwar-Torge""",Zazie Kanwar-Torge,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q069,"site:wordpress.com ""Zazie Productions""",Zazie Productions,Site-restricted,2026-09-05,1-2,coinoperatedpress.wordpress.com call + issue announcement,No,Deferred to lead,Announcement pages no phrase (interior needed)
Q070,"site:wordpress.com ""Zazie Kanwar-Torge""",Zazie Kanwar-Torge,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q071,"site:blogspot.com ""Zazie Productions""",Zazie Productions,Site-restricted,2026-09-05,1-2,No blogspot feature,No,Negative,
Q072,"site:blogspot.com ""Zazie Kanwar-Torge""",Zazie Kanwar-Torge,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q073,"site:tumblr.com ""Zazie Productions""",Zazie Productions,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q074,"site:tumblr.com ""Zazie Kanwar-Torge""",Zazie Kanwar-Torge,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q075,"site:ghost.io ""Zazie Productions""",Zazie Productions,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q076,"site:ghost.io ""Zazie Kanwar-Torge""",Zazie Kanwar-Torge,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q077,"site:beehiiv.com ""Zazie Productions""",Zazie Productions,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q078,"site:beehiiv.com ""Zazie Kanwar-Torge""",Zazie Kanwar-Torge,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q079,"site:buttondown.email ""Zazie Productions""",Zazie Productions,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q080,"site:buttondown.email ""Zazie Kanwar-Torge""",Zazie Kanwar-Torge,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q081,"site:write.as ""Zazie Productions""",Zazie Productions,Site-restricted,2026-09-05,1,write.as/1oznmq3kbhveh.md (community post not magazine),No,Excluded as UGC,
Q082,"site:write.as ""Zazie Kanwar-Torge""",Zazie Kanwar-Torge,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q083,"site:micro.blog ""Zazie Productions""",Zazie Productions,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q084,"site:micro.blog ""Zazie Kanwar-Torge""",Zazie Kanwar-Torge,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q085,"site:livejournal.com ""Zazie Productions""",Zazie Productions,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q086,"site:livejournal.com ""Zazie Kanwar-Torge""",Zazie Kanwar-Torge,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q087,"site:dreamwidth.org ""Zazie Productions""",Zazie Productions,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q088,"site:dreamwidth.org ""Zazie Kanwar-Torge""",Zazie Kanwar-Torge,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q089,"site:typepad.com ""Zazie Productions""",Zazie Productions,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q090,"site:typepad.com ""Zazie Kanwar-Torge""",Zazie Kanwar-Torge,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q091,"site:neocities.org ""Zazie Productions""",Zazie Productions,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q092,"site:neocities.org ""Zazie Kanwar-Torge""",Zazie Kanwar-Torge,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q093,"site:github.io ""Zazie Productions""",Zazie Productions,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q094,"site:github.io ""Zazie Kanwar-Torge""",Zazie Kanwar-Torge,Site-restricted,2026-09-05,1,No hits,No,Negative,
Q095,"filetype:pdf ""Zazie Productions"" magazine",Zazie Productions,Filetype search,2026-09-05,1,Superpresent V4N3 PDF,No,Already counted,
Q096,"filetype:pdf ""Zazie Kanwar-Torge"" magazine",Zazie Kanwar-Torge,Filetype search,2026-09-05,1,No hits,No,Negative,
Q097,"filetype:pdf ""Zazie Productions"" zine",Zazie Productions,Filetype search,2026-09-05,1,No new PDF,No,Negative,
Q098,"filetype:pdf ""Zazie Kanwar-Torge"" zine",Zazie Kanwar-Torge,Filetype search,2026-09-05,1,No hits,No,Negative,
Q099,"filetype:pdf ""Zazie Productions"" journal",Zazie Productions,Filetype search,2026-09-05,1,No hits,No,Negative,
Q100,"filetype:pdf ""Zazie Kanwar-Torge"" journal",Zazie Kanwar-Torge,Filetype search,2026-09-05,1,No hits,No,Negative,
Q101,"filetype:pdf ""Zazie Productions"" interview",Zazie Productions,Filetype search,2026-09-05,1,No hits,No,Negative,
Q102,"filetype:pdf ""Zazie Kanwar-Torge"" interview",Zazie Kanwar-Torge,Filetype search,2026-09-05,1,No hits,No,Negative,
Q103,"filetype:pdf ""Zazie Productions"" review",Zazie Productions,Filetype search,2026-09-05,1,No hits,No,Negative,
Q104,"filetype:pdf ""Zazie Kanwar-Torge"" review",Zazie Kanwar-Torge,Filetype search,2026-09-05,1,No hits,No,Negative,
Q105,"filetype:pdf ""Zazie Productions"" essay",Zazie Productions,Filetype search,2026-09-05,1,No hits (Church Codex not surfaced),No,Negative,
Q106,"filetype:pdf ""Zazie Kanwar-Torge"" essay",Zazie Kanwar-Torge,Filetype search,2026-09-05,1,No hits,No,Negative,
Q107,"filetype:pdf ""Zazie Productions"" ""program notes""",Zazie Productions,Filetype search,2026-09-05,1,No hits,No,Negative,
Q108,"filetype:pdf ""Zazie Kanwar-Torge"" ""program notes""",Zazie Kanwar-Torge,Filetype search,2026-09-05,1,No hits,No,Negative,
Q109,"filetype:pdf ""Zazie Productions"" ""catalog essay""",Zazie Productions,Filetype search,2026-09-05,1,No hits,No,Negative,
Q110,"filetype:pdf ""Zazie Kanwar-Torge"" ""catalog essay""",Zazie Kanwar-Torge,Filetype search,2026-09-05,1,No hits,No,Negative,
Q111,Wayback archive check grammyweekly,WAYBACK,2026-09-05,,Wayback calendar 0 captures,No,Not separate feature,
Q112,Wayback archive check heavy mag,WAYBACK,2026-09-05,,Wayback calendar 0 captures,No,Not separate feature,
